id,original_text,normalized_text,token_ids,token_length,text_length
hassaniya_0018,لوضاع في موريتاني مرحلة متقدم من هذ من أرفود و أطروح,لوضاع في موريتاني مرحله متقدم من هذ من ارفود و اطروح,"[28, 32, 19, 5, 22, 3, 25, 33, 3, 29, 32, 14, 33, 7, 5, 30, 33, 3, 29, 14, 10, 28, 31, 3, 29, 7, 26, 12, 29, 3, 29, 30, 3, 31, 13, 3, 29, 30, 3, 5, 14, 25, 32, 12, 3, 32, 3, 5, 20, 14, 32, 10]",52,52
hassaniya_0019,وأن مانحمل ولين نجبرهم أمعلقين من صورة أشقه,وان مانحمل ولين نجبرهم امعلقين من صوره اشقه,"[32, 5, 30, 3, 29, 5, 30, 10, 29, 28, 3, 32, 28, 33, 30, 3, 30, 9, 6, 14, 31, 29, 3, 5, 29, 22, 28, 26, 33, 30, 3, 29, 30, 3, 18, 32, 14, 31, 3, 5, 17, 26, 31]",43,43
hassaniya_0020,عاد يقالك ذ مناضل وذ كذا,عاد يقالك ذ مناضل وذ كذا,"[22, 5, 12, 3, 33, 26, 5, 28, 27, 3, 13, 3, 29, 30, 5, 19, 28, 3, 32, 13, 3, 27, 13, 5]",24,24
hassaniya_0021,يغير اسمعتها,يغير اسمعتها,"[33, 23, 33, 14, 3, 5, 16, 29, 22, 7, 31, 5]",12,12
hassaniya_0022,يغير نعرف فترة اللا ايلين ايجوهم سيارات يكبظوهم مدة اخرى ايمشوهم للرئاسة وايكولو لهم ذي وزارة سيادة ذا تعرف غريب عندي كيف اللي العدالة ماهي سيادة كيف اللي الرئاسة ماهي سيادة كيف اللي,يغير نعرف فتره اللا ايلين ايجوهم سيارات يكبظوهم مده اخري ايمشوهم للرياسه وايكولو لهم ذي وزاره سياده ذا تعرف غريب عندي كيف اللي العداله ماهي سياده كيف اللي الرياسه ماهي سياده كيف اللي,"[33, 23, 33, 14, 3, 30, 22, 14, 25, 3, 25, 7, 14, 31, 3, 5, 28, 28, 5, 3, 5, 33, 28, 33, 30, 3, 5, 33, 9, 32, 31, 29, 3, 16, 33, 5, 14, 5, 7, 3, 33, 27, 6, 21, 32, 31, 29, 3, 29, 12, 31, 3, 5, 11, 14, 33, 3, 5, 33, 29, 17, 32, 31, 29, 3, 28, 28, 14, 33, 5, 16, 31, 3, 32, 5, 33, 27, 32, 28, 32, 3, 28, 31, 29, 3, 13, 33, 3, 32, 15, 5, 14, 31, 3, 16, 33, 5, 12, 31, 3, 13, 5, 3, 7, 22, 14, 25, 3, 23, 14, 33, 6, 3, 22, 30, 12, 33, 3, 27, 33, 25, 3, 5, 28, 28, 33, 3, 5, 28, 22, 12, 5, 28, 31, 3, 29, 5, 31, 33, 3, 16, 33, 5, 12, 31, 3, 27, 33, 25, 3, 5, 28, 28, 33, 3, 5, 28, 14, 33, 5, 16, 31, 3, 29, 5, 31, 33, 3, 16, 33, 5, 12, 31, 3, 27, 33, 25, 3, 5, 28, 28, 33]",182,182
hassaniya_0023,ذ بعد هو أل نعرف,ذ بعد هو ال نعرف,"[13, 3, 6, 22, 12, 3, 31, 32, 3, 5, 28, 3, 30, 22, 14, 25]",16,16
hassaniya_0024,وجيتو,وجيتو,"[32, 9, 33, 7, 32]",5,5
hassaniya_0025,شي ايكيس الوزارة الأولى,شي ايكيس الوزاره الاولي,"[17, 33, 3, 5, 33, 27, 33, 16, 3, 5, 28, 32, 15, 5, 14, 31, 3, 5, 28, 5, 32, 28, 33]",23,23
hassaniya_0026,عن انكال لها عن تعليم البنات احرام,عن انكال لها عن تعليم البنات احرام,"[22, 30, 3, 5, 30, 27, 5, 28, 3, 28, 31, 5, 3, 22, 30, 3, 7, 22, 28, 33, 29, 3, 5, 28, 6, 30, 5, 7, 3, 5, 10, 14, 5, 29]",34,34
hassaniya_0027,كانت الساعة الثالثة,كانت الساعه الثالثه,"[27, 5, 30, 7, 3, 5, 28, 16, 5, 22, 31, 3, 5, 28, 8, 5, 28, 8, 31]",19,19
hassaniya_0028,الوقت حامي,الوقت حامي,"[5, 28, 32, 26, 7, 3, 10, 5, 29, 33]",10,10
hassaniya_0029,جيت دخلت على سيدي محمد ولد ببكر,جيت دخلت علي سيدي محمد ولد ببكر,"[9, 33, 7, 3, 12, 11, 28, 7, 3, 22, 28, 33, 3, 16, 33, 12, 33, 3, 29, 10, 29, 12, 3, 32, 28, 12, 3, 6, 6, 27, 14]",31,31
hassaniya_0030,كلت لك عني ما كنت نطمح بيها يغير العكس ذا لعطيت في الخارجية,كلت لك عني ما كنت نطمح بيها يغير العكس ذا لعطيت في الخارجيه,"[27, 28, 7, 3, 28, 27, 3, 22, 30, 33, 3, 29, 5, 3, 27, 30, 7, 3, 30, 20, 29, 10, 3, 6, 33, 31, 5, 3, 33, 23, 33, 14, 3, 5, 28, 22, 27, 16, 3, 13, 5, 3, 28, 22, 20, 33, 7, 3, 25, 33, 3, 5, 28, 11, 5, 14, 9, 33, 31]",59,59
hassaniya_0031,تسعة وثمانين,تسعه وثمانين,"[7, 16, 22, 31, 3, 32, 8, 29, 5, 30, 33, 30]",12,12
hassaniya_0032,اللي كالو لي,اللي كالو لي,"[5, 28, 28, 33, 3, 27, 5, 28, 32, 3, 28, 33]",12,12
hassaniya_0033,يغير يا سبحان الله العظيم,يغير يا سبحان الله العظيم,"[33, 23, 33, 14, 3, 33, 5, 3, 16, 6, 10, 5, 30, 3, 5, 28, 28, 31, 3, 5, 28, 22, 21, 33, 29]",25,25
hassaniya_0034,لأن لين يكلم عن رأيي العام الموريتاني,لان لين يكلم عن رايي العام الموريتاني,"[28, 5, 30, 3, 28, 33, 30, 3, 33, 27, 28, 29, 3, 22, 30, 3, 14, 5, 33, 33, 3, 5, 28, 22, 5, 29, 3, 5, 28, 29, 32, 14, 33, 7, 5, 30, 33]",37,37
hassaniya_0035,اسبوع سابكـ ذا اخلطلي يأس,اسبوع سابكـ ذا اخلطلي ياس,"[5, 16, 6, 32, 22, 3, 16, 5, 6, 27, 24, 3, 13, 5, 3, 5, 11, 28, 20, 28, 33, 3, 33, 5, 16]",25,25
hassaniya_0036,رافدة هم أسرتي وأهلي وشايلة هم الدنيا كالت الناس نتخمم فمصير موريتاني,رافده هم اسرتي واهلي وشايله هم الدنيا كالت الناس نتخمم فمصير موريتاني,"[14, 5, 25, 12, 31, 3, 31, 29, 3, 5, 16, 14, 7, 33, 3, 32, 5, 31, 28, 33, 3, 32, 17, 5, 33, 28, 31, 3, 31, 29, 3, 5, 28, 12, 30, 33, 5, 3, 27, 5, 28, 7, 3, 5, 28, 30, 5, 16, 3, 30, 7, 11, 29, 29, 3, 25, 29, 18, 33, 14, 3, 29, 32, 14, 33, 7, 5, 30, 33]",69,69
hassaniya_0037,عدل أحمد ولد سيدي باب,عدل احمد ولد سيدي باب,"[22, 12, 28, 3, 5, 10, 29, 12, 3, 32, 28, 12, 3, 16, 33, 12, 33, 3, 6, 5, 6]",21,21
hassaniya_0038,يغير انا اهتميت بيه وكلت هاذي المدة لاهي تشد أخبار مصير موريتان انا لاهي انجيه,يغير انا اهتميت بيه وكلت هاذي المده لاهي تشد اخبار مصير موريتان انا لاهي انجيه,"[33, 23, 33, 14, 3, 5, 30, 5, 3, 5, 31, 7, 29, 33, 7, 3, 6, 33, 31, 3, 32, 27, 28, 7, 3, 31, 5, 13, 33, 3, 5, 28, 29, 12, 31, 3, 28, 5, 31, 33, 3, 7, 17, 12, 3, 5, 11, 6, 5, 14, 3, 29, 18, 33, 14, 3, 29, 32, 14, 33, 7, 5, 30, 3, 5, 30, 5, 3, 28, 5, 31, 33, 3, 5, 30, 9, 33, 31]",78,78
hassaniya_0039,كال لي اهلا بيك والله الل بعد وخيرت,كال لي اهلا بيك والله الل بعد وخيرت,"[27, 5, 28, 3, 28, 33, 3, 5, 31, 28, 5, 3, 6, 33, 27, 3, 32, 5, 28, 28, 31, 3, 5, 28, 28, 3, 6, 22, 12, 3, 32, 11, 33, 14, 7]",35,35
hassaniya_0040,وكنت الجماعة كلهم انخرصو,وكنت الجماعه كلهم انخرصو,"[32, 27, 30, 7, 3, 5, 28, 9, 29, 5, 22, 31, 3, 27, 28, 31, 29, 3, 5, 30, 11, 14, 18, 32]",24,24
hassaniya_0041,اتعالي لاهي نمشي معاهم انا اللي شخصيات اشوابين ذيك الساعة,اتعالي لاهي نمشي معاهم انا اللي شخصيات اشوابين ذيك الساعه,"[5, 7, 22, 5, 28, 33, 3, 28, 5, 31, 33, 3, 30, 29, 17, 33, 3, 29, 22, 5, 31, 29, 3, 5, 30, 5, 3, 5, 28, 28, 33, 3, 17, 11, 18, 33, 5, 7, 3, 5, 17, 32, 5, 6, 33, 30, 3, 13, 33, 27, 3, 5, 28, 16, 5, 22, 31]",57,57
hassaniya_0042,انا عدت من جيلهم,انا عدت من جيلهم,"[5, 30, 5, 3, 22, 12, 7, 3, 29, 30, 3, 9, 33, 28, 31, 29]",16,16
hassaniya_0043,نتخلى عليه,نتخلي عليه,"[30, 7, 11, 28, 33, 3, 22, 28, 33, 31]",10,10
hassaniya_0044,أصبت أنا بلحباط كنت شاك عنو لاهي ايكول لها ذا زين وذا لاهي كذا ولاهي نعتناو بيه و لاهي انطبقوه ولاهي نعدلو بصيفتو ذي,اصبت انا بلحباط كنت شاك عنو لاهي ايكول لها ذا زين وذا لاهي كذا ولاهي نعتناو بيه و لاهي انطبقوه ولاهي نعدلو بصيفتو ذي,"[5, 18, 6, 7, 3, 5, 30, 5, 3, 6, 28, 10, 6, 5, 20, 3, 27, 30, 7, 3, 17, 5, 27, 3, 22, 30, 32, 3, 28, 5, 31, 33, 3, 5, 33, 27, 32, 28, 3, 28, 31, 5, 3, 13, 5, 3, 15, 33, 30, 3, 32, 13, 5, 3, 28, 5, 31, 33, 3, 27, 13, 5, 3, 32, 28, 5, 31, 33, 3, 30, 22, 7, 30, 5, 32, 3, 6, 33, 31, 3, 32, 3, 28, 5, 31, 33, 3, 5, 30, 20, 6, 26, 32, 31, 3, 32, 28, 5, 31, 33, 3, 30, 22, 12, 28, 32, 3, 6, 18, 33, 25, 7, 32, 3, 13, 33]",116,116
hassaniya_0045,قول ذاك التبق كامل,قول ذاك التبق كامل,"[26, 32, 28, 3, 13, 5, 27, 3, 5, 28, 7, 6, 26, 3, 27, 5, 29, 28]",18,18
hassaniya_0046,ركزت على العمل شنكد انعدل لوزارة الثقافة والشباب والرياضة شنكد انطري لها,ركزت علي العمل شنكد انعدل لوزاره الثقافه والشباب والرياضه شنكد انطري لها,"[14, 27, 15, 7, 3, 22, 28, 33, 3, 5, 28, 22, 29, 28, 3, 17, 30, 27, 12, 3, 5, 30, 22, 12, 28, 3, 28, 32, 15, 5, 14, 31, 3, 5, 28, 8, 26, 5, 25, 31, 3, 32, 5, 28, 17, 6, 5, 6, 3, 32, 5, 28, 14, 33, 5, 19, 31, 3, 17, 30, 27, 12, 3, 5, 30, 20, 14, 33, 3, 28, 31, 5]",72,72
hassaniya_0047,شي ما عدلتو انت من لاهي ايعدلو,شي ما عدلتو انت من لاهي ايعدلو,"[17, 33, 3, 29, 5, 3, 22, 12, 28, 7, 32, 3, 5, 30, 7, 3, 29, 30, 3, 28, 5, 31, 33, 3, 5, 33, 22, 12, 28, 32]",30,30
hassaniya_0048,أولا عدلوها ومن فم تفكدو لعليات,اولا عدلوها ومن فم تفكدو لعليات,"[5, 32, 28, 5, 3, 22, 12, 28, 32, 31, 5, 3, 32, 29, 30, 3, 25, 29, 3, 7, 25, 27, 12, 32, 3, 28, 22, 28, 33, 5, 7]",31,31
hassaniya_0049,بيني وبينك انصدمت,بيني وبينك انصدمت,"[6, 33, 30, 33, 3, 32, 6, 33, 30, 27, 3, 5, 30, 18, 12, 29, 7]",17,17
hassaniya_0050,وأبيت ذيك الساعة ذيك الفترة الانتقالية وحدين ايجوني ايكولو لي دعمي سيدي دعمي أحمد,وابيت ذيك الساعه ذيك الفتره الانتقاليه وحدين ايجوني ايكولو لي دعمي سيدي دعمي احمد,"[32, 5, 6, 33, 7, 3, 13, 33, 27, 3, 5, 28, 16, 5, 22, 31, 3, 13, 33, 27, 3, 5, 28, 25, 7, 14, 31, 3, 5, 28, 5, 30, 7, 26, 5, 28, 33, 31, 3, 32, 10, 12, 33, 30, 3, 5, 33, 9, 32, 30, 33, 3, 5, 33, 27, 32, 28, 32, 3, 28, 33, 3, 12, 22, 29, 33, 3, 16, 33, 12, 33, 3, 12, 22, 29, 33, 3, 5, 10, 29, 12]",81,81
hassaniya_0051,ذوك أطراف ذوك آرواكيج أصلا عايشين أصلا في الحزب الجمهوري ورابيين معاه,ذوك اطراف ذوك ارواكيج اصلا عايشين اصلا في الحزب الجمهوري ورابيين معاه,"[13, 32, 27, 3, 5, 20, 14, 5, 25, 3, 13, 32, 27, 3, 5, 14, 32, 5, 27, 33, 9, 3, 5, 18, 28, 5, 3, 22, 5, 33, 17, 33, 30, 3, 5, 18, 28, 5, 3, 25, 33, 3, 5, 28, 10, 15, 6, 3, 5, 28, 9, 29, 31, 32, 14, 33, 3, 32, 14, 5, 6, 33, 33, 30, 3, 29, 22, 5, 31]",69,69
hassaniya_0052,أنا ماني مولات مصالح أنا عندي قناعة ونرجى من عند الله سبحانه وتعالى,انا ماني مولات مصالح انا عندي قناعه ونرجي من عند الله سبحانه وتعالي,"[5, 30, 5, 3, 29, 5, 30, 33, 3, 29, 32, 28, 5, 7, 3, 29, 18, 5, 28, 10, 3, 5, 30, 5, 3, 22, 30, 12, 33, 3, 26, 30, 5, 22, 31, 3, 32, 30, 14, 9, 33, 3, 29, 30, 3, 22, 30, 12, 3, 5, 28, 28, 31, 3, 16, 6, 10, 5, 30, 31, 3, 32, 7, 22, 5, 28, 33]",67,67
hassaniya_0053,تليت تعطي التفسيرات وت أنا يالل انفكر براصي,تليت تعطي التفسيرات وت انا يالل انفكر براصي,"[7, 28, 33, 7, 3, 7, 22, 20, 33, 3, 5, 28, 7, 25, 16, 33, 14, 5, 7, 3, 32, 7, 3, 5, 30, 5, 3, 33, 5, 28, 28, 3, 5, 30, 25, 27, 14, 3, 6, 14, 5, 18, 33]",43,43
hassaniya_0054,ذاك العدلت منها اكليل,ذاك العدلت منها اكليل,"[13, 5, 27, 3, 5, 28, 22, 12, 28, 7, 3, 29, 30, 31, 5, 3, 5, 27, 28, 33, 28]",21,21
hassaniya_0055,عانت شوي,عانت شوي,"[22, 5, 30, 7, 3, 17, 32, 33]",8,8
hassaniya_0056,وأعرف شي الدبشك  ووصي  أعل متاعك,واعرف شي الدبشك ووصي اعل متاعك,"[32, 5, 22, 14, 25, 3, 17, 33, 3, 5, 28, 12, 6, 17, 27, 3, 32, 32, 18, 33, 3, 5, 22, 28, 3, 29, 7, 5, 22, 27]",30,32
hassaniya_0057,وزير ثقافة سعودي كط ريتو فمؤتمرات,وزير ثقافه سعودي كط ريتو فموتمرات,"[32, 15, 33, 14, 3, 8, 26, 5, 25, 31, 3, 16, 22, 32, 12, 33, 3, 27, 20, 3, 14, 33, 7, 32, 3, 25, 29, 32, 7, 29, 14, 5, 7]",33,33
hassaniya_0058,عاد عندو انطباع عني,عاد عندو انطباع عني,"[22, 5, 12, 3, 22, 30, 12, 32, 3, 5, 30, 20, 6, 5, 22, 3, 22, 30, 33]",19,19
hassaniya_0059,ايلين جاتو السيرة الذاتية,ايلين جاتو السيره الذاتيه,"[5, 33, 28, 33, 30, 3, 9, 5, 7, 32, 3, 5, 28, 16, 33, 14, 31, 3, 5, 28, 13, 5, 7, 33, 31]",25,25
hassaniya_0060,كالي تعرفي أنا وين,كالي تعرفي انا وين,"[27, 5, 28, 33, 3, 7, 22, 14, 25, 33, 3, 5, 30, 5, 3, 32, 33, 30]",18,18
hassaniya_0061,كالو لنا انتوم,كالو لنا انتوم,"[27, 5, 28, 32, 3, 28, 30, 5, 3, 5, 30, 7, 32, 29]",14,14
hassaniya_0062,نحن مرتين بس,نحن مرتين بس,"[30, 10, 30, 3, 29, 14, 7, 33, 30, 3, 6, 16]",12,12
hassaniya_0063,هي انت اللي لاهي تتكلمي باسم الضيوف,هي انت اللي لاهي تتكلمي باسم الضيوف,"[31, 33, 3, 5, 30, 7, 3, 5, 28, 28, 33, 3, 28, 5, 31, 33, 3, 7, 7, 27, 28, 29, 33, 3, 6, 5, 16, 29, 3, 5, 28, 19, 33, 32, 25]",35,35
hassaniya_0064,للأمير كاعد,للامير كاعد,"[28, 28, 5, 29, 33, 14, 3, 27, 5, 22, 12]",11,11
hassaniya_0065,حجبت,حجبت,"[10, 9, 6, 7]",4,4
hassaniya_0066,حكما كزرة,حكما كزره,"[10, 27, 29, 5, 3, 27, 15, 14, 31]",9,9
hassaniya_0067,وأخلاصك لاه أتم ألا  ماشيلك في الكونت ذ ألا نوع من التوفير وتوف,واخلاصك لاه اتم الا ماشيلك في الكونت ذ الا نوع من التوفير وتوف,"[32, 5, 11, 28, 5, 18, 27, 3, 28, 5, 31, 3, 5, 7, 29, 3, 5, 28, 5, 3, 29, 5, 17, 33, 28, 27, 3, 25, 33, 3, 5, 28, 27, 32, 30, 7, 3, 13, 3, 5, 28, 5, 3, 30, 32, 22, 3, 29, 30, 3, 5, 28, 7, 32, 25, 33, 14, 3, 32, 7, 32, 25]",62,63
hassaniya_0068,اجبرتك فواحد من خطاباتك اللي مالها شي اتكولي عن المرأة افموريتان,اجبرتك فواحد من خطاباتك اللي مالها شي اتكولي عن المراه افموريتان,"[5, 9, 6, 14, 7, 27, 3, 25, 32, 5, 10, 12, 3, 29, 30, 3, 11, 20, 5, 6, 5, 7, 27, 3, 5, 28, 28, 33, 3, 29, 5, 28, 31, 5, 3, 17, 33, 3, 5, 7, 27, 32, 28, 33, 3, 22, 30, 3, 5, 28, 29, 14, 5, 31, 3, 5, 25, 29, 32, 14, 33, 7, 5, 30]",64,64
hassaniya_0069,حتى فلكراية التقليدية,حتي فلكرايه التقليديه,"[10, 7, 33, 3, 25, 28, 27, 14, 5, 33, 31, 3, 5, 28, 7, 26, 28, 33, 12, 33, 31]",21,21
hassaniya_0070,كنت انا يلين انكز من المدرسة,كنت انا يلين انكز من المدرسه,"[27, 30, 7, 3, 5, 30, 5, 3, 33, 28, 33, 30, 3, 5, 30, 27, 15, 3, 29, 30, 3, 5, 28, 29, 12, 14, 16, 31]",28,28
hassaniya_0071,العيل يومشاو للمحظرة ونادر لعليات,العيل يومشاو للمحظره ونادر لعليات,"[5, 28, 22, 33, 28, 3, 33, 32, 29, 17, 5, 32, 3, 28, 28, 29, 10, 21, 14, 31, 3, 32, 30, 5, 12, 14, 3, 28, 22, 28, 33, 5, 7]",33,33
hassaniya_0072,اكليلة,اكليله,"[5, 27, 28, 33, 28, 31]",6,6
hassaniya_0073,مصيب لو اللا العيل وهذا تمييز,مصيب لو اللا العيل وهذا تمييز,"[29, 18, 33, 6, 3, 28, 32, 3, 5, 28, 28, 5, 3, 5, 28, 22, 33, 28, 3, 32, 31, 13, 5, 3, 7, 29, 33, 33, 15]",29,29
hassaniya_0074,عدت انا هي هي اللي,عدت انا هي هي اللي,"[22, 12, 7, 3, 5, 30, 5, 3, 31, 33, 3, 31, 33, 3, 5, 28, 28, 33]",18,18
hassaniya_0075,كل مدة وعادتها,كل مده وعادتها,"[27, 28, 3, 29, 12, 31, 3, 32, 22, 5, 12, 7, 31, 5]",14,14
hassaniya_0076,ايلين عكبت عادت,ايلين عكبت عادت,"[5, 33, 28, 33, 30, 3, 22, 27, 6, 7, 3, 22, 5, 12, 7]",15,15
hassaniya_0077,نطلع للمدرسة لو خاظت لبتدائية كاع اكريب,نطلع للمدرسه لو خاظت لبتداييه كاع اكريب,"[30, 20, 28, 22, 3, 28, 28, 29, 12, 14, 16, 31, 3, 28, 32, 3, 11, 5, 21, 7, 3, 28, 6, 7, 12, 5, 33, 33, 31, 3, 27, 5, 22, 3, 5, 27, 14, 33, 6]",39,39
hassaniya_0078,ولاه تمشي و تم أدجيك حماله من الحوت في أنهار و حماله من كسكس  والحم في اليل,ولاه تمشي و تم ادجيك حماله من الحوت في انهار و حماله من كسكس والحم في اليل,"[32, 28, 5, 31, 3, 7, 29, 17, 33, 3, 32, 3, 7, 29, 3, 5, 12, 9, 33, 27, 3, 10, 29, 5, 28, 31, 3, 29, 30, 3, 5, 28, 10, 32, 7, 3, 25, 33, 3, 5, 30, 31, 5, 14, 3, 32, 3, 10, 29, 5, 28, 31, 3, 29, 30, 3, 27, 16, 27, 16, 3, 32, 5, 28, 10, 29, 3, 25, 33, 3, 5, 28, 33, 28]",74,75
hassaniya_0079,عاكب ذاك عدت انكيس لعدادية ادور اتعود كيلين من الدار,عاكب ذاك عدت انكيس لعداديه ادور اتعود كيلين من الدار,"[22, 5, 27, 6, 3, 13, 5, 27, 3, 22, 12, 7, 3, 5, 30, 27, 33, 16, 3, 28, 22, 12, 5, 12, 33, 31, 3, 5, 12, 32, 14, 3, 5, 7, 22, 32, 12, 3, 27, 33, 28, 33, 30, 3, 29, 30, 3, 5, 28, 12, 5, 14]",52,52
hassaniya_0080,اللعليات,اللعليات,"[5, 28, 28, 22, 28, 33, 5, 7]",8,8
